Kod_Kursus,Nama_Kursus,Tahun_Kursus,Tempoh_Kursus,Bidang,Sub_Bidang,Skim_Gred,Skim_Kod,Nama_Skim
KLA0003,KURSUS KONSEP G.R.E.A.T DALAM PERKHIDMATAN AWAM (GCS),2023,2,KEPIMPINAN,Kepimpinan,AL52,A,Pengangkutan
KLA0005,BENGKEL KAEDAH PELAKSANAAN KURSUS G.R.E.A.T. DALAM PERKHIDMATAN AWAM (GCS),2023,2,KEPIMPINAN,Kepimpinan,AL41,A,Pengangkutan
KLA1002,Junior Executive Leadership Assessment Programme (J-LEAP),2022,1,KEPIMPINAN,Kepimpinan,AL44,A,Pengangkutan
KLA1004,Advanced Leadership and Management Programme (ALMP),2023,29,KEPIMPINAN,Kepimpinan,AL54,A,Pengangkutan
KLA1006,Senior Executive Assessment Programme (SEAP),2022,3,KEPIMPINAN,Kepimpinan,AL54,A,Pengangkutan
KLA1007,Kursus Change Management,2022,3,KEPIMPINAN,Kepimpinan,A48,A,Pengangkutan
KLA1010,"Kursus Pemikiran, Perancangan dan Pengurusan Strategik",2021,3,KEPIMPINAN,Kepimpinan,A44,A,Pengangkutan
KLA1011,Kursus Kepimpinan Transformatif dan Pengurusan Organisasi 2.0,2022,3,KEPIMPINAN,Kepimpinan,A54,A,Pengangkutan
KLA1012,Kursus Leadership Plus,2021,2,KEPIMPINAN,Kepimpinan,A52,A,Pengangkutan
KLA1013,Kursus Management Tools,2021,3,KEPIMPINAN,Kepimpinan,A44,A,Pengangkutan
KNA0001,Program Transformasi Minda,2022,5,PEMBANGUNAN DIRI DAN SAHSIAH,Pengukuhan Pasukan,A19,A,Pengangkutan
KNA0002,Kursus Pemikiran Kreatif,2022,2,INOVASI DAN KREATIVITI,Creativity in Work Culture,A19,A,Pengangkutan
KNA0003,Kursus Horizon Baharu KIK,2023,3,INOVASI DAN KREATIVITI,Kumpulan Inovatif dan Kreatif,A44,A,Pengangkutan
KNA0005,Kursus Design Thinking Masterclass,2021,2,INOVASI DAN KREATIVITI,Pengkomersialan inovasi,AL41,A,Pengangkutan
KNA0006,"Kursus Protokol, Etiket Sosial Dan Pengurusan Majlis",2021,4,KOMUNIKASI,Protokol dan Pengurusan Majlis,A41,A,Pengangkutan
KNA0007,Kursus Persembahan Berimpak Tinggi,2023,4,KOMUNIKASI,Pengucapan Awam,A41,A,Pengangkutan
KNA0008,Kursus Perundingan Berkesan,2022,3,KOMUNIKASI,Perundingan,A41,A,Pengangkutan
KNA0010,Kursus Myportfolio : Panduan Kerja Sektor Awam,2021,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),AL41,A,Pengangkutan
KNA0011,Kursus Pengurusan Bencana,2022,4,PENGURUSAN,Krisis Dan Konflik,AL41,A,Pengangkutan
KNA0021,Kursus Talent Management,2023,64,PENGURUSAN,Sumber Manusia (Perkhidmatan),A41,A,Pengangkutan
KPA0001,Kursus Masterclass in Public Policy Making,2022,4,DASAR,Pengurusan Dasar Awam,A41,A,Pengangkutan
KPA0004,Masterclass on Civil Service Good Governance,2023,4,DASAR,Tadbir Urus,A41,A,Pengangkutan
KPA0005,Kursus Kerjasama Awam Swasta (Public Private Partnership),2023,4,DASAR,Pengurusan Projek,AL48,A,Pengangkutan
KPB0002,Kursus Pensijilan Pengurusan Projek Awam Bersepadu (3PAB) - Modul I : Formulasi Dan Pembentukan Projek,2021,5,DASAR,Pengurusan Projek,AB29,A,Pengangkutan
KPB0003,Kursus Pensijilan Pengurusan Projek Awam Bersepadu (3PAB) - Modul II : Perancangan Projek,2021,5,DASAR,Pengurusan Projek,AB29,A,Pengangkutan
KPB0004,Kursus Pensijilan Pengurusan Projek Awam Bersepadu (3PAB) - Modul III : Pelaksanaan Dan Pemantauan Projek,2021,5,DASAR,Pengurusan Projek,AB29,A,Pengangkutan
KPB0005,Kursus Pensijilan Pengurusan Projek Awam Bersepadu (3PAB) - Modul IV : Penilaian Projek Dan Governan Dalam Projek,2021,4,DASAR,Pengurusan Projek,AB29,A,Pengangkutan
KRA0003,Bengkel Penulisan Artikel Jurnal,2024,2,PENYELIDIKAN,Penyelidikan,AL41,A,Pengangkutan
KXA0005,Bengkel Train The Trainer,2022,5,PEMBANGUNAN LATIHAN,Kepakaran Kejurulatihan,A40,A,Pengangkutan
KXA0006,Bengkel Learning Needs Analysis,2023,3,PEMBANGUNAN LATIHAN,Pengurusan Latihan,A41,A,Pengangkutan
KXA0007,Kursus Coaching For Leaders,2021,2,PEMBANGUNAN LATIHAN,Coaching,A44,A,Pengangkutan
